freq,dbfs,dbspl,rms,min_amp,max_amp,tag
460.57,-54,69.96,0.0005,-0.0019,0.0019,
501.14,-56,71.54,0.0006,-0.0015,0.0016,
460.57,-53,72.88,0.0007,-0.0021,0.0015,
115.14,-51,75.06,0.0009,-0.0028,0.0017,
501.14,-54,71.54,0.0006,-0.002,0.0013,
5060.66,-57,69.96,0.0005,-0.0013,0.0015,
115.14,-53,74.04,0.0008,-0.0022,0.0021,
1013.79,-55,71.54,0.0006,-0.001,0.0017,
345.43,-56,72.88,0.0007,-0.0016,0.0015,
230.29,-52,74.04,0.0008,-0.0024,0.0021,
234.57,-53,75.06,0.0009,-0.0024,0.002,
115.14,-50,76.81,0.0011,-0.0033,0.0029,
506.9,-52,75.06,0.0009,-0.0018,0.0024,
575.72,-50,75.06,0.0009,-0.0024,0.003,
115.14,-49,78.26,0.0013,-0.0037,0.0026,
4510.23,-55,72.88,0.0007,-0.0019,0.0016,
344.53,-48,78.9,0.0014,-0.0038,0.003,
128.95,-48,78.9,0.0014,-0.0038,0.0036,
115.14,-48,78.26,0.0013,-0.0039,0.0025,
501.14,-53,76.81,0.0011,-0.0023,0.0023,
115.14,-46,79.5,0.0015,-0.004,0.005,
506.9,-50,76.81,0.0011,-0.0031,0.0028,
142.72,-47,79.5,0.0015,-0.0046,0.0038,
345.43,-47,78.9,0.0014,-0.0044,0.0033,
506.9,-48,80.59,0.0017,-0.003,0.0038,
460.57,-47,81.55,0.0019,-0.0046,0.0045,
230.29,-42,82.83,0.0022,-0.0044,0.0078,
1520.69,-51,77.56,0.0012,-0.0027,0.0029,
226.15,-46,81.55,0.0019,-0.0051,0.0038,
115.14,-45,80.59,0.0017,-0.0045,0.0058,
501.14,-47,80.06,0.0016,-0.0044,0.0038,
230.29,-44,81.55,0.0019,-0.0049,0.0065,
506.9,-49,80.06,0.0016,-0.0037,0.0025,
230.29,-47,80.06,0.0016,-0.0046,0.0039,
193.42,-47,81.08,0.0018,-0.0046,0.0041,
230.29,-43,82.0,0.002,-0.0055,0.0068,
230.29,-45,82.42,0.0021,-0.0054,0.0051,
460.57,-45,80.59,0.0017,-0.0057,0.0052,
168.32,-43,83.21,0.0023,-0.0061,0.0069,
211.0,-45,80.59,0.0017,-0.0056,0.0044,
460.57,-44,82.42,0.0021,-0.0056,0.0063,
115.14,-43,82.42,0.0021,-0.0069,0.0049,
501.14,-46,83.21,0.0023,-0.0051,0.004,
460.57,-47,81.08,0.0018,-0.0045,0.0046,
501.14,-46,80.59,0.0017,-0.0032,0.0048,
345.43,-45,81.08,0.0018,-0.0051,0.0057,
506.9,-47,80.06,0.0016,-0.0045,0.0043,
1520.69,-47,79.5,0.0015,-0.0043,0.0037,
134.04,-43,81.55,0.0019,-0.0044,0.0068,
310.56,-47,78.9,0.0014,-0.0043,0.0035,
230.29,-45,81.08,0.0018,-0.005,0.0054,
115.14,-46,81.08,0.0018,-0.0049,0.005,
121.82,-44,82.0,0.002,-0.0063,0.0049,
408.33,-49,78.26,0.0013,-0.0024,0.0036,
115.14,-44,82.42,0.0021,-0.0064,0.0045,
501.14,-46,83.58,0.0024,-0.0041,0.0052,
115.14,-45,80.59,0.0017,-0.0058,0.0036,
5575.86,-49,78.26,0.0013,-0.0034,0.0035,
230.29,-45,82.0,0.002,-0.0054,0.0051,
501.14,-47,82.0,0.002,-0.0042,0.0045,
345.43,-45,80.06,0.0016,-0.0058,0.0053,
3675.0,-53,79.5,0.0015,-0.0023,0.0021,
588.0,-47,81.55,0.0019,-0.0044,0.0045,
230.29,-45,78.9,0.0014,-0.0042,0.0054,
345.43,-46,80.59,0.0017,-0.0047,0.0042,
1503.41,-49,80.06,0.0016,-0.0031,0.0035,
115.14,-47,80.06,0.0016,-0.0046,0.0037,
115.14,-43,83.94,0.0025,-0.0062,0.0073,
1050.0,-48,79.5,0.0015,-0.0024,0.0042,
230.29,-45,82.83,0.0022,-0.0058,0.0048,
230.29,-45,82.42,0.0021,-0.0053,0.0051,
501.14,-48,81.08,0.0018,-0.0036,0.0039,
230.29,-45,82.0,0.002,-0.005,0.0059,
460.57,-45,81.55,0.0019,-0.0056,0.0056,
501.14,-47,79.5,0.0015,-0.0047,0.0032,
230.29,-44,81.08,0.0018,-0.0065,0.0044,
506.9,-49,78.9,0.0014,-0.0034,0.0034,
115.14,-46,80.06,0.0016,-0.0053,0.005,
115.14,-45,81.08,0.0018,-0.0059,0.0049,
230.29,-46,81.08,0.0018,-0.0038,0.0053,
501.14,-51,77.56,0.0012,-0.0026,0.0028,
1013.79,-50,78.26,0.0013,-0.0033,0.0027,
115.14,-45,82.0,0.002,-0.0044,0.0055,
506.9,-49,79.5,0.0015,-0.0037,0.0038,
1494.92,-51,78.26,0.0013,-0.0029,0.0024,
230.29,-45,81.08,0.0018,-0.0047,0.0056,
230.29,-46,80.59,0.0017,-0.0051,0.0044,
460.57,-45,79.5,0.0015,-0.0053,0.004,
501.14,-47,81.55,0.0019,-0.0036,0.0045,
806.01,-42,81.55,0.0019,-0.0047,0.0079,
958.7,-47,80.06,0.0016,-0.0027,0.0042,
230.29,-45,81.08,0.0018,-0.0048,0.0054,
230.29,-43,81.55,0.0019,-0.0048,0.0069,
506.9,-44,83.58,0.0024,-0.0049,0.0066,
115.14,-46,81.55,0.0019,-0.0052,0.0048,
352.8,-48,78.9,0.0014,-0.0036,0.0038,
255.65,-46,82.0,0.002,-0.0049,0.0047,
345.43,-46,80.59,0.0017,-0.0052,0.0039,
115.14,-43,82.42,0.0021,-0.0072,0.0054,
230.29,-46,81.08,0.0018,-0.0053,0.0047,
506.9,-45,81.55,0.0019,-0.0043,0.0054,
141.35,-43,82.83,0.0022,-0.005,0.0072,
115.14,-43,82.83,0.0022,-0.0071,0.0055,
230.29,-43,83.21,0.0023,-0.0052,0.0075,
1520.69,-49,79.5,0.0015,-0.0037,0.0025,
345.43,-46,80.59,0.0017,-0.0048,0.0039,
501.14,-47,78.26,0.0013,-0.0045,0.0029,
158.63,-46,82.0,0.002,-0.005,0.0045,
115.14,-47,80.59,0.0017,-0.0036,0.0044,
1002.27,-50,78.26,0.0013,-0.0032,0.0028,
230.29,-45,82.42,0.0021,-0.006,0.0046,
1013.79,-46,78.9,0.0014,-0.0028,0.0049,
115.14,-45,80.59,0.0017,-0.0054,0.0039,
506.9,-49,79.5,0.0015,-0.0034,0.0031,
195.13,-47,80.59,0.0017,-0.0046,0.0044,
460.57,-46,80.06,0.0016,-0.0032,0.0051,
115.14,-44,82.42,0.0021,-0.0062,0.0043,
115.14,-47,80.06,0.0016,-0.0046,0.0046,
170.27,-47,80.59,0.0017,-0.0042,0.0044,
460.57,-46,81.55,0.0019,-0.0047,0.005,
501.14,-49,80.06,0.0016,-0.0029,0.0034,
