freq,dbfs,dbspl,rms,min_amp,max_amp,tag
506.9,-58,69.96,0.0005,-0.0012,0.0012,
230.29,-54,71.54,0.0006,-0.002,0.0018,
115.14,-52,74.04,0.0008,-0.0025,0.002,
1696.15,-59,68.02,0.0004,-0.0011,0.0009,
115.14,-51,74.04,0.0008,-0.0027,0.0022,
230.29,-51,72.88,0.0007,-0.0019,0.0027,
1013.79,-55,71.54,0.0006,-0.0018,0.0015,
115.14,-50,75.06,0.0009,-0.003,0.0025,
115.14,-49,77.56,0.0012,-0.0037,0.0027,
501.14,-53,76.81,0.0011,-0.0022,0.0019,
689.06,-53,75.06,0.0009,-0.0023,0.0022,
115.14,-48,76.81,0.0011,-0.0038,0.0027,
1013.79,-52,75.06,0.0009,-0.0018,0.0025,
115.14,-48,77.56,0.0012,-0.0029,0.0039,
272.22,-50,78.9,0.0014,-0.0032,0.003,
428.16,-47,78.26,0.0013,-0.0044,0.0034,
115.14,-48,78.9,0.0014,-0.0037,0.0041,
1520.69,-46,78.9,0.0014,-0.0023,0.0048,
230.29,-46,80.06,0.0016,-0.0039,0.005,
501.14,-44,83.58,0.0024,-0.005,0.0061,
115.14,-44,84.28,0.0026,-0.0064,0.0052,
226.15,-45,82.0,0.002,-0.0043,0.0057,
115.14,-47,79.5,0.0015,-0.0044,0.0046,
501.14,-45,82.83,0.0022,-0.0056,0.0041,
115.14,-47,81.08,0.0018,-0.0044,0.0044,
506.9,-50,78.26,0.0013,-0.0025,0.0033,
115.14,-45,82.83,0.0022,-0.0059,0.0049,
182.23,-49,78.26,0.0013,-0.0029,0.0037,
230.29,-44,81.55,0.0019,-0.0062,0.0044,
506.9,-48,80.59,0.0017,-0.0041,0.0037,
115.14,-44,83.94,0.0025,-0.0061,0.0059,
1002.27,-48,80.06,0.0016,-0.0041,0.0031,
230.29,-45,81.08,0.0018,-0.0057,0.0055,
168.32,-46,80.59,0.0017,-0.0049,0.0041,
211.0,-47,79.5,0.0015,-0.0037,0.0045,
506.9,-46,81.55,0.0019,-0.0049,0.003,
506.9,-48,80.59,0.0017,-0.0033,0.0041,
149.49,-46,81.55,0.0019,-0.0044,0.0051,
504.0,-46,79.5,0.0015,-0.0051,0.004,
345.43,-45,81.08,0.0018,-0.0059,0.0047,
501.14,-49,78.9,0.0014,-0.0035,0.0031,
115.14,-46,80.06,0.0016,-0.0036,0.0049,
506.9,-48,78.9,0.0014,-0.004,0.0032,
268.09,-47,80.06,0.0016,-0.0045,0.0042,
115.14,-45,82.42,0.0021,-0.0045,0.0058,
115.14,-44,82.42,0.0021,-0.006,0.0061,
121.82,-44,81.08,0.0018,-0.0036,0.006,
115.14,-43,82.42,0.0021,-0.0068,0.0049,
115.14,-44,84.92,0.0028,-0.0065,0.0063,
115.14,-43,84.61,0.0027,-0.0062,0.0071,
115.14,-45,82.0,0.002,-0.0047,0.0056,
345.43,-45,81.55,0.0019,-0.0047,0.0057,
460.57,-48,79.5,0.0015,-0.004,0.0039,
115.14,-45,82.0,0.002,-0.0055,0.0054,
1520.69,-48,78.9,0.0014,-0.0042,0.003,
230.29,-44,81.08,0.0018,-0.0052,0.0063,
1116.46,-50,78.26,0.0013,-0.0031,0.0033,
115.14,-46,81.55,0.0019,-0.0051,0.0051,
115.14,-45,80.06,0.0016,-0.0055,0.0048,
506.9,-46,82.42,0.0021,-0.0048,0.0027,
115.14,-45,82.0,0.002,-0.0055,0.0045,
115.14,-44,82.83,0.0022,-0.0059,0.0061,
501.14,-47,81.55,0.0019,-0.004,0.0047,
345.43,-45,81.55,0.0019,-0.0057,0.005,
115.14,-43,82.42,0.0021,-0.0074,0.0047,
115.14,-45,81.08,0.0018,-0.0056,0.0036,
1494.92,-48,79.5,0.0015,-0.0032,0.0039,
115.14,-45,81.55,0.0019,-0.0043,0.0054,
1520.69,-48,81.08,0.0018,-0.0036,0.0038,
115.14,-44,80.59,0.0017,-0.0045,0.006,
115.14,-46,82.0,0.002,-0.0038,0.0053,
506.9,-47,81.55,0.0019,-0.0036,0.0042,
116.67,-46,81.08,0.0018,-0.0051,0.0042,
460.57,-47,80.06,0.0016,-0.0038,0.0045,
501.14,-48,80.59,0.0017,-0.0037,0.0041,
115.14,-46,81.08,0.0018,-0.0039,0.0053,
506.9,-48,78.9,0.0014,-0.0038,0.0034,
115.14,-44,82.0,0.002,-0.0061,0.0036,
352.8,-46,82.83,0.0022,-0.004,0.0052,
639.13,-47,80.59,0.0017,-0.0047,0.0038,
115.14,-46,82.0,0.002,-0.0043,0.0048,
230.29,-44,81.08,0.0018,-0.0044,0.006,
277.36,-48,79.5,0.0015,-0.0041,0.0036,
141.35,-46,81.08,0.0018,-0.005,0.0048,
345.43,-45,80.59,0.0017,-0.0053,0.0054,
1013.79,-47,79.5,0.0015,-0.0045,0.0032,
115.14,-43,82.0,0.002,-0.0045,0.0068,
1013.79,-48,79.5,0.0015,-0.004,0.0035,
115.14,-43,82.83,0.0022,-0.0068,0.0048,
229.69,-46,81.08,0.0018,-0.0051,0.0041,
158.63,-47,79.5,0.0015,-0.0045,0.0039,
115.14,-44,82.83,0.0022,-0.0063,0.0043,
115.14,-45,81.08,0.0018,-0.0055,0.0041,
180.0,-47,80.06,0.0016,-0.0043,0.0042,
230.29,-44,81.55,0.0019,-0.0044,0.0061,
1503.41,-48,77.56,0.0012,-0.0038,0.0028,
230.29,-46,80.59,0.0017,-0.0049,0.004,
170.27,-46,82.0,0.002,-0.0048,0.0044,
209.0,-47,81.55,0.0019,-0.0046,0.0046,
115.14,-45,81.08,0.0018,-0.0055,0.0053,
345.43,-45,81.55,0.0019,-0.0057,0.0044,
115.14,-45,82.42,0.0021,-0.0058,0.0058,
115.14,-45,82.83,0.0022,-0.0046,0.0058,
115.14,-44,83.21,0.0023,-0.0046,0.0066,
501.14,-49,80.06,0.0016,-0.0036,0.0033,
135.28,-48,79.5,0.0015,-0.004,0.0035,
608.28,-47,78.26,0.0013,-0.0044,0.0035,
115.14,-43,82.83,0.0022,-0.0074,0.0046,
506.9,-44,84.61,0.0027,-0.0051,0.0061,
115.14,-44,82.42,0.0021,-0.0061,0.0058,
345.43,-45,80.59,0.0017,-0.0038,0.0056,
501.14,-49,76.81,0.0011,-0.0035,0.0031,
122.84,-44,82.0,0.002,-0.006,0.0046,
115.14,-44,83.58,0.0024,-0.0056,0.0064,
1013.79,-47,79.5,0.0015,-0.0034,0.0043,
115.14,-43,84.61,0.0027,-0.0058,0.0074,
115.14,-43,83.21,0.0023,-0.0049,0.0071,
115.14,-46,81.55,0.0019,-0.005,0.0051,
501.14,-49,78.9,0.0014,-0.0034,0.0034,
575.72,-48,78.9,0.0014,-0.0042,0.0039,
506.9,-48,79.5,0.0015,-0.0027,0.0041,
345.43,-46,80.06,0.0016,-0.0037,0.005,
115.14,-44,83.21,0.0023,-0.0052,0.0066,
501.14,-44,81.08,0.0018,-0.0034,0.0063,
115.14,-44,82.42,0.0021,-0.0049,0.0065,
